Name;Address;Datatype;Description;Enhet;Meas interval;Meas unit;New tag
PS60_00_01;XB0;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS60_00_01
PS60_00_02;XB1;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS60_00_02
PS70_01_01;XDE;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS70_01_01
PS70_02_01;XDF;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS70_02_01
PS72_01_01;X116;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS72_01_01
PS72_02_01;X117;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS72_02_01
PS80_01_01;X130;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS80_01_01
PS80_02_01;X131;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS80_02_01
PS80_03_01;X132;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS80_03_01
PS90_01_01;X13B;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS90_01_01
PS90_02_01;X13C;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS90_02_01
PT01_00_01_CALC;D2564;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT01_00_01_CALC
PT03_00_01_CALC;D3684;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT03_00_01_CALC
PT61_00_02_CALC;D3124;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT61_00_02_CALC
PT61_00_03_CALC;D2884;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT61_00_03_CALC
PT61_01_01_CALC;D3144;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT61_01_01_CALC
PT61_02_01_CALC;D3164;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT61_02_01_CALC
PT94_01_01_CALC;D3524;REAL;Kalkylerat värde;;30;Sekund;P_THP_PT94_01_01_CALC
PVA_90_61_01_O;X189;BOOL;On/off-ventil vatten gaskjöler1 öppen;Av/på;0;Ved Endring;P_THP_PVA_90_61_01_O
PVA_90_61_02_O;X18C;BOOL;On/off-ventil vatten gaskjöler2 öppen;Av/på;0;Ved Endring;P_THP_PVA_90_61_02_O
PVA01_01_01_O;X63;BOOL;Avstängningslucka under fördelningsskruv Öppen;Av/på;0;Ved Endring;P_THP_PVA01_01_01_O
PVA01_01_02_O;X66;BOOL;Avstängningsventil, trycksida slampumpar Öppen;Av/på;0;Ved Endring;P_THP_PVA01_01_02_O
PVA01_02_01_O;X69;BOOL;Avstängningslucka under fördelningsskruv Öppen;Av/på;0;Ved Endring;P_THP_PVA01_02_01_O
PVA01_02_02_O;X6C;BOOL;Avstängningsventil, trycksida slampumpar Öppen;Av/på;0;Ved Endring;P_THP_PVA01_02_02_O
PVA01_O;X194;BOOL;Gasventil UBG öppen;Av/på;0;Ved Endring;P_THP_PVA01_O
PVA03_01_02_O;X183;BOOL;On/off-ventil, septik till avvannet slam Öppen;Av/på;0;Ved Endring;P_THP_PVA03_01_02_O
PVA03_01_03_O;X186;BOOL;On/off-ventil, septik till Cambi THP Öppen;Av/på;0;Ved Endring;P_THP_PVA03_01_03_O
PVA04_00_01_O;X7F;BOOL;On/off-ventil, bilanslutning fettmottagning Öppen;Av/på;0;Ved Endring;P_THP_PVA04_00_01_O
PVA04_01_01_O;X82;BOOL;On/off-ventil, sugsida fettcirkulation påfyllning Öppen;Av/på;0;Ved Endring;P_THP_PVA04_01_01_O
PVA04_01_02_O;X85;BOOL;On/off-ventil, sugsida fettcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA04_01_02_O
PVA04_01_03_O;X88;BOOL;On/off-ventil, trycksida fettuttag Öppen;Av/på;0;Ved Endring;P_THP_PVA04_01_03_O
PVA04_01_04_O;X8B;BOOL;On/off-ventil, trycksida fettcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA04_01_04_O
PVA04_02_01_O;X8E;BOOL;On/off-ventil, sugsida fettcirkulation påfyllning Öppen;Av/på;0;Ved Endring;P_THP_PVA04_02_01_O
PVA04_02_02_O;X91;BOOL;On/off-ventil, sugsida fettcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA04_02_02_O
PVA04_02_03_O;X94;BOOL;On/off-ventil, trycksida fettuttag Öppen;Av/på;0;Ved Endring;P_THP_PVA04_02_03_O
PVA04_02_04_O;X97;BOOL;On/off-ventil, trycksida fettcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA04_02_04_O
PVA60_00_01_O;XB2;BOOL;On/off-ventil, trycksida rötslam till bufferttank Öppen;Av/på;0;Ved Endring;P_THP_PVA60_00_01_O
PVA60_00_02_O;XB5;BOOL;On/off-ventil, trycksida rötslam till bufferttank Öppen;Av/på;0;Ved Endring;P_THP_PVA60_00_02_O
PVA60_01_01_O;XB8;BOOL;On/off-ventil, trycksida rötslamcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA60_01_01_O
PVA60_01_02_O;X199;BOOL;Avstängningsventil råtnetank 1 öppen;Av/på;0;Ved Endring;P_THP_PVA60_01_02_O
PVA60_02_01_O;XBB;BOOL;On/off-ventil, trycksida rötslamcirkulation Öppen;Av/på;0;Ved Endring;P_THP_PVA60_02_01_O
PVA60_02_02_O;X19C;BOOL;Avstängningsventil råtnetank 2 öppen;Av/på;0;Ved Endring;P_THP_PVA60_02_02_O
PVA61_00_01_O;XD1;BOOL;On/off-ventil Öppen;Av/på;0;Ved Endring;P_THP_PVA61_00_01_O
PVA61_00_02_O;XD4;BOOL;On/off-ventil Öppen;Av/på;0;Ved Endring;P_THP_PVA61_00_02_O
PVA61_00_03_O;;BOOL;On/off-ventil, gasfackla Öppen;Av/på;0;Ved Endring;P_THP_PVA61_00_03_O
PVA61_00_04_O;X17D;BOOL;On/off ventil gas energicentral Öppen;Av/på;0;Ved Endring;P_THP_PVA61_00_04_O
PVA71_00_01_O;X104;BOOL;Avstängningslucka under utmatningsskruv Öppen;Av/på;0;Ved Endring;P_THP_PVA71_00_01_O
PVA71_00_02_O;X10E;BOOL;Avstängningslucka under utmatningsskruv Öppen;Av/på;0;Ved Endring;P_THP_PVA71_00_02_O
PVA72_01_01_O;X118;BOOL;On/off-ventil, rejektvatten till spädvattensystem Öppen;Av/på;0;Ved Endring;P_THP_PVA72_01_01_O
PVA72_01_02_O;X11B;BOOL;On/off-ventil, spädvatten till torrslampump Öppen;Av/på;0;Ved Endring;P_THP_PVA72_01_02_O
PVA72_01_03_O;X11E;BOOL;On/off-ventil, spädvatten till torrslampump Öppen;Av/på;0;Ved Endring;P_THP_PVA72_01_03_O
PVA90_00_01_O;X9A;BOOL;On/off-ventil, Inlopp till renvattentank Öppen;Av/på;0;Ved Endring;P_THP_PVA90_00_01_O
PVA90_00_01_SP;;INT;Signal till analoga utkortet;;30;Sekund;P_THP_PVA90_00_01_SP
PVA90_00_01_SP_CALC;D4500;REAL;IN Kalkylerat värde;;30;Sekund;P_THP_PVA90_00_01_SP_CALC
PVA90_00_01_SPSP_PID;D4509;INT;PID_CV värde;;30;Sekund;P_THP_PVA90_00_01_SPSP_PID
PVA90_00_02_O;X15A;BOOL;On/off-ventil, byvann till vanntank Öppen;Av/på;0;Ved Endring;P_THP_PVA90_00_02_O
